steep_time,water_temp,milk_temp,sugar_level,tea_type_code,satisfaction
122,94,30,8.5,1,7.75
192,75,26,11.5,1,2.5
137,78,0,14.3,1,2.5
91,71,11,0.3,2,5.0
109,81,8,1.3,3,10.0
210,84,17,10.6,3,3.32
89,84,37,5.2,2,7.47
165,88,32,2.2,1,6.31
253,82,0,8.7,3,2.81
139,100,19,9.6,1,8.17
219,87,22,12.3,2,4.6
149,83,17,5.0,3,7.42
273,84,20,4.2,1,4.0
266,84,25,3.5,3,2.5
246,93,0,10.3,3,2.5
97,72,28,11.1,2,3.13
277,99,0,13.4,1,5.09
205,84,25,8.8,1,4.68
239,95,9,9.1,1,7.91
134,99,0,2.6,3,2.5
99,74,34,13.4,3,5.72
121,94,14,8.6,3,3.64
78,89,15,1.7,2,8.77
159,82,36,5.5,2,6.17
124,100,20,1.8,3,2.5
154,86,17,14.0,3,5.53
60,77,32,2.1,1,2.5
272,74,17,7.8,1,2.5
98,77,36,11.2,3,6.33
253,83,0,3.4,3,2.5
238,77,18,13.2,1,2.5
216,75,40,11.7,1,2.5
182,79,16,1.7,1,4.64
195,74,7,10.8,2,4.88
95,95,0,5.2,3,3.74
82,84,0,9.2,2,8.69
170,77,15,1.5,1,2.5
196,91,0,1.6,1,9.07
223,91,4,13.0,3,2.5
260,90,29,5.0,3,2.5
189,76,37,13.8,3,2.72
211,94,9,0.5,1,10.0
213,97,0,7.7,1,8.12
145,97,10,8.9,1,8.45
121,99,0,0.5,2,5.51
174,84,31,7.2,2,6.91
67,98,0,11.3,2,4.5
284,92,35,10.7,1,2.86
131,91,40,2.7,1,5.33
137,93,19,6.0,1,7.86
235,87,0,1.3,3,3.7
61,70,23,5.0,3,6.21
79,74,33,5.4,1,2.5
187,86,20,4.0,2,7.45
294,83,32,2.6,3,2.5
225,71,28,7.5,3,2.5
112,76,20,6.3,2,6.29
113,80,0,1.4,3,9.43
246,76,37,5.9,2,2.5
95,84,0,8.9,3,8.88
285,78,12,1.1,1,2.5
101,94,0,12.3,1,6.34
78,74,0,13.8,1,2.5
106,81,27,11.4,3,8.08
267,75,21,7.3,3,2.5
73,84,12,2.9,2,9.09
281,89,21,7.8,3,2.5
167,97,6,10.4,2,4.01
179,86,25,4.8,2,8.15
185,71,0,13.1,2,3.3
219,72,0,0.1,1,2.5
244,85,13,1.4,3,2.5
236,72,33,12.8,2,2.5
108,94,15,14.3,1,6.47
243,100,14,13.6,2,2.5
131,89,13,0.7,1,8.26
113,84,0,7.8,2,8.8
237,87,27,13.5,3,2.5
148,78,40,1.4,1,2.5
196,72,15,0.5,3,4.99
285,93,0,0.1,3,2.5
96,97,0,13.4,1,6.79
126,93,30,13.0,1,6.27
151,70,0,2.4,1,2.5
247,76,34,12.4,2,2.5
141,73,16,7.6,3,6.49
172,78,34,5.7,1,2.5
258,79,37,5.1,3,2.5
278,86,20,8.7,1,4.1
109,83,32,6.7,3,8.02
88,80,18,12.3,3,8.21
158,82,18,11.9,1,4.8
86,72,31,11.0,3,6.6
244,74,4,4.8,2,3.27
74,81,11,2.4,1,2.5
258,72,27,13.8,3,2.5
265,76,0,10.3,1,2.5
273,91,5,12.0,3,2.5
154,75,0,10.4,1,2.5
238,93,0,1.5,2,4.84
261,77,0,4.9,2,2.5
220,82,0,6.0,2,6.75
202,71,0,10.1,3,4.18
132,76,15,13.1,2,6.31
66,80,7,9.0,2,7.58
247,79,21,0.9,3,2.5
114,83,11,13.1,1,2.99
118,72,0,6.0,1,2.5
218,95,23,9.4,2,3.51
238,78,37,7.3,2,2.5
174,95,15,5.8,2,6.28
85,77,33,2.7,2,5.87
296,78,0,13.1,3,2.5
290,75,28,14.5,2,2.5
227,81,0,14.5,3,3.63
139,79,15,12.4,1,2.5
60,94,0,2.5,1,6.12
224,86,31,13.0,2,3.55
189,78,23,0.8,1,2.5
118,74,0,8.8,2,6.56
282,93,26,10.0,3,2.5
178,77,4,11.0,1,2.5
93,70,29,5.6,2,2.5
106,77,30,14.0,2,5.88
267,83,8,8.7,2,3.34
235,82,16,4.3,3,3.74
191,75,37,11.4,1,2.5
147,99,28,4.9,1,6.96
119,98,35,5.6,2,3.27
265,79,12,5.7,2,3.72
176,98,15,2.2,1,9.6
129,83,24,2.9,3,8.37
262,88,0,14.0,2,2.5
299,90,0,4.6,3,2.5
217,87,16,6.2,1,7.31
250,93,39,6.4,2,2.5
232,79,0,0.0,2,5.71
85,78,27,6.2,1,2.5
213,96,27,12.3,3,2.5
261,70,8,2.5,3,2.5
209,85,38,9.1,3,2.5
244,99,0,4.1,3,2.5
184,76,14,14.9,2,5.87
91,76,39,1.3,1,2.5
182,75,7,6.6,2,5.68
67,75,6,8.0,1,2.5
274,81,20,14.9,3,2.5
95,74,0,10.4,1,2.5
180,92,20,4.5,3,3.17
64,89,4,12.6,1,4.35
290,70,15,11.7,2,2.5
125,78,0,14.1,1,2.5
210,95,9,13.8,3,2.5
71,84,21,9.4,2,7.83
126,85,0,12.3,3,7.93
253,94,36,13.8,2,2.5
184,89,9,2.2,1,8.99
155,97,17,13.1,1,8.7
90,88,37,6.9,2,6.84
266,78,12,2.1,1,2.5
156,73,20,3.5,1,2.5
237,100,38,5.5,2,2.5
242,71,0,6.3,2,2.5
226,74,0,0.2,2,3.69
300,97,24,12.7,3,2.5
111,85,38,5.6,1,3.01
172,78,0,9.9,1,2.5
247,77,14,7.4,3,2.81
247,92,22,1.6,1,7.59
146,80,27,1.6,1,3.08
218,83,18,14.1,3,3.86
123,79,0,1.2,1,3.47
253,84,0,1.8,2,5.49
181,92,0,14.5,1,9.29
154,85,37,1.9,3,4.64
183,95,25,4.1,1,9.09
286,95,15,13.8,2,2.5
195,83,10,2.7,3,6.81
151,98,5,2.0,3,2.5
210,93,25,8.1,1,8.09
78,92,28,11.4,3,4.07
188,81,4,4.2,3,7.29
208,83,30,10.3,1,3.75
149,95,0,11.2,2,6.44
134,85,0,4.6,3,7.98
191,89,38,2.1,2,4.67
76,92,32,9.6,1,4.85
83,71,22,4.0,3,7.32
211,82,34,12.4,3,2.5
284,87,31,11.0,3,2.5
204,75,30,10.3,3,2.5
197,87,0,10.5,2,6.36
168,88,38,6.4,3,3.71
108,90,8,10.6,2,8.46
159,75,0,3.4,1,2.5
217,93,0,4.2,3,2.5
197,85,34,6.7,1,4.46
243,80,0,13.6,1,2.74
66,75,21,11.0,3,7.42
179,83,24,3.8,3,5.58
206,88,15,5.2,1,7.8
293,94,36,7.9,1,2.5
226,91,37,1.2,2,3.36
61,91,5,1.5,3,6.7
227,75,13,14.7,3,2.5
79,95,25,0.3,1,5.65
184,78,31,11.6,3,4.39
259,81,38,1.6,3,2.5
256,88,0,2.8,1,6.43
196,84,0,13.5,2,5.98
189,76,6,13.5,3,5.58
67,74,40,6.6,2,3.26
188,100,24,10.9,2,2.5
128,94,0,0.4,2,7.6
248,97,9,10.7,1,7.74
260,90,0,12.3,2,2.5
277,99,38,2.1,1,3.96
244,92,25,11.1,3,2.5
75,71,31,10.2,2,2.5
106,75,24,0.5,1,2.5
263,86,38,0.9,3,2.5
278,92,0,5.8,2,2.5
249,72,17,7.2,1,2.5
161,92,0,10.6,2,7.9
87,89,17,10.9,3,6.91
201,93,39,1.4,2,3.31
148,83,38,3.4,2,6.95
169,91,19,3.6,1,8.48
272,100,23,3.3,1,6.18
275,70,0,10.4,2,2.5
209,77,23,11.8,3,4.15
63,91,6,9.8,2,7.54
60,77,9,13.4,2,6.05
86,77,0,7.0,1,2.5
235,82,16,8.1,1,3.91
144,90,12,12.3,1,8.28
118,76,16,10.1,2,6.88
104,70,22,6.2,1,2.5
220,82,31,12.3,1,2.81
127,99,39,5.5,3,2.5
181,88,5,10.0,1,6.88
69,83,12,9.2,3,9.11
152,75,33,2.1,1,2.5
124,92,29,13.7,2,5.46
211,94,0,5.8,3,2.5
132,90,33,6.7,2,6.18
100,100,0,13.3,2,3.51
220,93,31,6.5,1,6.02
205,97,0,5.8,3,2.5
128,77,15,8.4,3,8.45
213,96,0,13.9,3,2.5
184,84,40,12.5,1,2.5
193,73,12,14.8,1,2.5
168,85,8,2.3,1,7.1
146,88,37,3.9,3,4.3
295,90,7,5.2,3,2.5
76,72,25,8.5,2,3.15
87,74,39,13.6,3,4.97
232,84,24,11.2,3,2.5
105,95,20,14.2,2,6.19
287,75,27,6.6,3,2.5
268,88,30,6.1,3,2.5
132,77,20,9.6,1,2.5
297,98,19,11.4,2,2.5
101,99,15,12.1,3,2.5
222,88,0,14.9,3,2.5
96,70,0,0.1,1,2.5
253,100,0,7.3,2,2.5
158,77,0,12.1,1,2.5
204,92,19,7.2,2,6.46
218,97,6,12.1,2,2.6
280,76,4,8.2,2,2.5
90,86,35,6.7,2,7.0
219,87,0,10.7,1,6.1
63,82,11,4.1,3,8.86
134,78,18,1.5,1,2.5
273,75,27,12.6,1,2.5
216,97,0,5.4,3,2.5
159,87,16,6.3,2,9.5
220,97,13,2.1,1,9.16
83,81,0,10.1,1,2.5
199,74,0,5.4,3,5.2
265,72,10,11.5,2,2.5
75,78,14,11.0,2,7.56
296,71,11,9.8,2,2.5
208,97,4,13.4,3,2.5
113,79,13,0.2,1,2.5
212,72,20,13.6,1,2.5
178,97,0,3.3,2,5.24
234,99,40,4.0,1,6.02
116,99,19,4.5,1,7.9
219,80,26,11.7,1,2.5
285,97,26,10.1,2,2.5
202,97,20,3.4,3,2.5
264,90,7,5.8,3,2.5
116,84,0,10.3,2,9.53
164,80,0,6.2,2,8.74
181,90,9,4.1,2,8.15
282,99,9,6.7,1,6.09
134,82,34,3.6,2,7.32
198,74,22,2.6,2,4.83
184,71,19,14.7,3,2.98
155,73,0,9.6,3,6.32
145,98,12,12.5,1,8.19
114,77,25,6.4,1,2.5
130,86,23,11.3,3,7.19
265,86,32,8.5,3,2.5
117,95,26,7.6,3,2.5
296,78,8,10.8,3,2.5
206,82,10,12.7,1,4.83
143,84,32,3.8,3,6.44
278,73,0,13.2,1,2.5
63,72,26,0.7,3,5.93
228,94,9,0.8,2,4.05
120,89,0,0.0,3,8.16
256,82,33,4.9,1,2.5
299,96,39,14.8,2,2.5
75,96,13,0.3,2,5.47
273,94,28,1.9,1,6.47
110,73,27,2.4,3,7.17
210,95,20,0.5,1,8.29
111,90,15,10.1,1,7.08
277,84,35,11.0,2,2.5
191,93,22,10.6,1,8.96
256,96,16,14.4,2,2.5
154,73,5,13.1,3,6.7
243,92,19,14.7,3,2.5
284,86,0,5.9,1,4.29
64,94,8,1.0,3,4.3
78,91,5,3.1,3,7.02
274,88,32,1.5,1,3.44
116,77,0,7.8,1,2.5
277,89,30,7.8,3,2.5
94,85,27,9.9,2,7.6
216,84,30,6.5,3,2.66
112,71,9,3.8,2,5.62
292,96,0,9.0,1,5.86
182,93,37,5.6,1,6.84
108,78,4,3.3,1,2.5
225,86,30,6.5,3,2.5
215,84,0,6.5,1,5.99
76,80,23,3.1,3,8.02
121,95,19,1.2,3,4.07
223,96,0,11.8,3,2.5
150,83,0,11.6,1,4.85
98,86,36,13.4,1,3.35
248,95,0,10.6,2,2.5
96,84,0,12.4,2,8.64
273,76,0,7.4,3,2.5
180,70,24,2.4,1,2.5
258,72,23,6.7,1,2.5
115,79,24,11.1,2,7.29
105,92,39,9.5,1,3.9
172,90,9,8.3,3,4.76
229,92,26,6.9,2,3.16
219,83,26,6.4,3,3.94
167,87,0,8.1,2,8.39
265,95,39,1.8,2,2.5
202,99,11,14.8,1,6.9
133,77,4,3.1,2,8.9
152,85,32,6.6,2,6.78
108,72,0,7.6,1,2.5
266,98,35,10.7,1,5.32
124,98,19,3.1,3,2.5
142,88,18,7.0,1,7.73
244,77,31,8.2,1,2.5
138,89,32,6.7,3,5.74
242,99,14,9.9,3,2.5
108,78,0,12.1,1,2.5
195,78,40,7.8,2,3.83
158,74,0,10.7,3,7.45
193,98,0,3.9,3,2.5
293,74,15,7.1,1,2.5
118,94,0,3.2,2,7.63
140,95,15,6.7,3,3.55
121,75,6,14.1,2,6.46
208,95,0,9.8,3,2.5
178,75,40,11.2,1,2.5
179,83,9,6.4,2,8.17
258,77,21,12.7,3,2.5
235,96,34,12.0,1,5.62
154,84,16,2.0,3,8.3
217,100,0,4.7,2,2.5
242,84,38,14.1,1,2.5
127,98,22,6.6,2,5.44
146,93,37,5.1,1,5.68
109,73,23,14.1,2,4.02
179,92,8,0.8,3,4.54
142,70,7,6.2,2,5.1
233,83,0,10.3,1,4.18
99,91,6,9.6,2,8.51
95,91,11,1.4,3,6.93
277,99,23,13.2,2,2.5
298,93,0,11.1,3,2.5
178,94,34,11.6,2,3.03
71,86,33,4.6,2,7.41
117,71,27,1.5,3,6.5
99,77,26,12.0,2,6.57
223,98,39,3.2,2,2.5
186,93,0,1.2,2,7.79
249,74,13,7.6,2,2.5
249,92,0,6.9,3,2.5
200,94,15,11.7,3,2.5
226,82,12,14.1,2,5.96
260,100,22,9.9,1,6.18
98,73,35,1.9,1,2.5
136,94,17,9.7,3,2.87
289,100,31,2.5,3,2.5
209,98,11,5.6,2,2.87
152,100,28,0.4,3,2.5
209,73,0,13.1,2,3.63
241,73,18,3.0,2,2.5
277,84,40,7.0,1,2.5
204,99,35,5.6,2,2.5
227,88,12,7.0,3,3.39
241,84,0,0.4,2,4.61
296,83,11,4.2,2,2.5
174,80,34,11.6,2,5.45
193,91,0,0.3,3,3.81
174,80,0,5.0,2,8.15
76,75,31,12.7,3,6.71
277,86,0,14.5,2,2.57
297,88,38,2.1,3,2.5
275,85,30,1.4,3,2.5
93,72,0,7.1,2,5.47
69,88,8,1.7,3,9.15
221,92,23,11.4,3,2.5
125,99,24,6.4,1,7.05
284,89,0,7.4,2,2.5
275,94,9,13.5,3,2.5
279,72,26,10.5,2,2.5
64,95,40,1.8,1,3.25
247,88,31,3.3,3,2.5
251,98,0,6.4,2,2.5
90,89,0,7.9,2,8.65
250,79,24,11.2,2,2.56
249,84,0,8.4,1,5.72
232,75,17,5.7,1,2.5
218,90,0,0.3,1,8.46
221,95,29,6.1,2,2.66
76,94,16,3.4,3,5.46
207,73,27,9.2,1,2.5
91,73,17,4.2,3,8.16
203,99,0,3.3,1,9.42
83,84,12,4.7,2,8.62
162,79,19,6.0,2,7.77
280,76,26,12.5,2,2.5
63,98,35,6.5,3,2.5
261,89,0,13.3,3,2.5
155,73,20,10.9,1,2.5
252,89,14,6.8,2,3.35
292,78,0,9.3,3,2.5
89,94,0,2.6,3,5.43
297,95,28,9.9,2,2.5
123,71,21,0.8,3,7.65
298,85,16,8.5,2,2.5
138,100,15,6.2,3,2.5
95,90,0,1.3,2,8.86
254,84,22,3.2,1,4.83
207,94,0,5.4,2,5.18
200,80,32,5.2,3,4.54
138,94,0,8.2,2,7.17
134,74,0,0.5,2,5.32
127,88,0,5.3,3,7.56
154,90,13,6.4,1,8.63
188,80,7,9.0,3,5.76
262,97,0,9.8,1,7.61
63,81,0,4.3,2,7.95
155,98,36,9.4,1,5.81
271,87,0,11.0,2,3.21
132,81,0,9.3,1,4.62
125,70,39,2.6,3,4.29
88,84,31,2.5,3,6.52
160,87,0,12.0,2,7.91
223,91,19,14.9,1,7.83
97,72,0,11.3,3,8.13
265,76,0,10.9,1,2.5
91,84,0,12.5,3,8.36
146,77,0,4.5,3,8.72
249,92,16,14.4,3,2.5
212,100,8,5.8,1,8.17
146,80,27,6.1,2,7.1
240,84,5,10.1,2,4.73
190,97,0,8.7,1,9.29
78,75,0,11.7,1,2.5
240,82,22,3.4,2,4.08
102,82,23,9.8,3,9.35
265,80,30,14.0,2,2.5
175,75,31,13.5,3,5.12
70,76,28,10.5,2,5.25
112,93,16,11.5,2,6.47
134,86,14,5.6,1,7.26
294,84,28,0.9,3,2.5
89,97,19,1.7,1,7.54
225,92,10,9.7,2,4.36
194,85,30,5.1,1,5.61
191,80,7,8.3,2,7.86
211,88,0,7.9,3,3.65
215,97,38,2.3,3,2.5
233,95,7,3.0,2,3.09
258,98,0,13.1,3,2.5
259,93,40,6.3,2,2.5
153,96,24,0.2,1,9.3
61,89,0,1.7,2,7.83
225,74,34,12.3,3,2.5
275,91,0,14.0,2,2.5
203,100,31,6.2,3,2.5
209,74,35,12.6,3,2.5
182,84,0,11.1,1,5.9
136,98,11,4.1,2,5.52
254,82,19,8.5,1,3.55
60,79,11,4.4,1,2.5
213,83,39,5.4,3,2.5
77,99,17,4.3,3,2.5
219,84,35,0.4,1,4.63
267,93,33,7.4,1,4.77
141,71,15,1.1,2,4.93
290,90,17,12.5,1,4.59
210,93,21,12.2,3,2.5
185,86,38,2.1,3,4.14
146,97,19,9.5,3,2.5
230,80,33,14.1,2,2.5
162,92,21,1.0,3,3.44
235,89,30,10.4,1,6.06
171,82,26,4.8,2,7.34
253,94,9,13.6,1,6.79
125,77,0,8.6,1,2.5
94,99,28,0.3,2,3.96
280,88,28,11.2,3,2.5
221,85,0,3.7,2,7.35
181,75,34,2.6,2,3.66
184,78,7,9.7,1,2.5
202,72,8,6.9,3,4.5
63,79,34,2.0,3,6.62
96,79,12,11.4,2,7.55
99,76,0,5.8,2,7.07
242,86,0,14.5,2,4.75
254,95,0,3.1,1,8.26
187,93,18,11.3,3,2.5
161,73,22,11.8,3,5.34
279,85,20,4.5,1,4.16
212,75,26,12.8,2,2.63
134,95,0,4.6,3,3.73
243,76,11,13.1,2,2.5
255,72,10,10.8,3,2.5
220,87,40,7.7,3,2.5
283,72,38,12.6,3,2.5
141,87,18,1.1,3,8.02
190,99,37,11.6,1,5.99
249,84,32,7.8,2,3.28
212,75,0,6.0,2,4.82
153,98,25,2.9,2,4.48
139,95,0,14.0,3,3.34
276,74,0,0.0,3,2.5
229,94,0,8.3,2,4.27
225,96,0,10.9,1,9.07
184,87,0,11.2,1,7.04
77,91,40,10.3,1,2.7
241,88,0,8.0,3,2.5
99,75,0,8.1,2,7.58
234,81,9,5.1,3,3.12
258,88,38,5.4,1,4.76
252,100,21,4.5,1,6.64
169,93,0,9.5,3,3.06
280,75,0,14.3,3,2.5
120,91,0,7.7,1,7.51
138,71,7,11.3,3,6.75
140,74,25,11.1,1,2.5
270,87,0,2.8,3,2.5
86,95,39,2.7,3,2.5
181,70,19,11.6,2,2.5
93,70,26,11.2,2,2.8
65,76,29,8.9,1,2.5
298,79,15,9.0,1,2.5
246,87,39,7.8,1,4.13
133,94,27,2.2,1,7.82
155,94,0,12.2,1,8.36
208,87,27,1.2,1,7.52
104,87,0,13.4,1,5.75
68,82,0,7.0,1,2.5
276,95,31,9.4,1,4.82
76,81,6,6.5,3,8.89
176,91,39,12.1,1,5.47
69,91,11,11.2,2,6.95
102,95,0,4.4,2,6.98
239,73,14,9.2,2,2.5
72,83,0,6.7,2,8.06
107,97,23,10.9,3,2.5
159,83,37,14.1,2,5.5
77,81,33,4.9,3,7.4
166,74,8,2.7,3,7.43
68,84,0,4.3,2,9.08
225,77,38,4.6,3,2.5
297,71,0,10.9,1,2.5
71,76,16,10.6,1,2.5
78,71,0,10.8,2,2.77
244,100,0,6.1,2,2.5
272,89,0,11.6,2,2.5
295,87,0,13.4,3,2.5
97,91,25,5.0,3,5.27
97,93,11,5.1,2,6.91
92,96,31,1.6,2,4.58
229,79,14,11.9,1,2.5
90,76,24,3.8,3,7.77
238,87,21,5.0,1,6.3
198,71,39,7.7,1,2.5
269,74,0,3.0,3,2.5
77,94,29,8.2,1,4.7
182,95,15,13.6,2,5.1
288,76,27,5.2,3,2.5
74,74,14,13.5,1,2.5
165,93,31,10.1,3,2.69
70,81,40,14.9,1,2.5
248,100,19,12.1,2,2.5
241,97,8,14.7,2,2.5
137,80,7,9.4,3,8.51
110,79,0,3.5,3,9.25
69,81,34,9.6,1,2.5
254,78,21,11.1,2,2.5
63,98,18,4.4,1,5.21
277,86,30,13.0,2,2.5
191,86,0,8.8,3,6.33
170,77,37,12.9,1,2.5
202,96,33,5.8,3,2.5
183,86,0,0.5,3,7.07
266,92,40,6.0,1,4.73
104,87,0,7.7,3,7.81
114,79,16,0.8,2,7.87
187,88,4,10.8,3,4.9
204,74,0,2.8,1,2.5
287,87,0,11.4,1,5.36
69,100,4,11.8,3,2.5
64,93,9,14.3,3,4.61
126,94,23,4.7,1,8.24
264,86,20,9.4,3,2.5
101,79,12,0.2,3,9.54
76,74,10,8.0,1,2.5
260,73,17,4.4,2,2.5
89,93,26,5.8,3,5.03
222,91,15,10.6,1,8.41
182,96,0,2.7,2,6.57
236,98,0,6.8,3,2.5
97,96,12,3.7,3,3.43
271,94,5,7.9,2,2.5
114,73,28,5.3,1,2.5
161,97,21,11.7,3,2.5
100,100,37,1.0,2,2.5
74,83,40,6.9,3,5.33
179,71,0,4.3,1,2.5
261,78,0,5.5,2,3.37
127,94,38,4.0,1,5.81
200,96,39,4.7,3,2.5
230,96,6,4.4,2,4.54
261,70,19,8.5,3,2.5
185,76,0,8.2,2,6.2
100,100,37,3.9,1,3.72
129,98,9,4.5,2,5.18
152,77,36,6.9,3,5.53
176,74,34,4.4,3,4.33
161,72,5,7.9,1,2.5
290,82,30,4.7,1,2.5
106,90,0,5.8,2,9.24
154,88,32,12.9,2,5.26
123,98,36,15.0,3,2.5
161,83,0,1.4,3,8.82
94,100,0,11.5,3,2.5
189,87,0,8.9,2,8.33
289,98,15,6.0,1,5.7
190,79,29,10.2,1,2.5
131,74,0,9.8,1,2.5
72,93,24,13.0,3,3.77
161,83,11,3.6,1,6.61
152,85,33,11.3,1,4.13
177,74,0,8.8,1,2.5
73,90,12,4.3,3,7.2
108,80,11,11.1,1,2.5
86,95,0,10.1,1,6.6
239,94,0,12.2,1,7.95
141,92,25,11.2,3,3.06
268,96,33,3.1,3,2.5
295,82,4,0.2,2,2.5
241,84,0,10.3,3,3.0
102,74,13,0.0,2,7.34
263,76,36,1.6,3,2.5
223,97,38,4.6,2,2.5
187,88,0,9.7,1,7.98
239,90,0,1.9,2,4.88
103,76,0,1.5,2,6.43
132,100,40,2.8,2,2.5
245,84,5,1.6,3,2.93
199,98,15,4.7,1,8.78
196,86,0,1.0,1,7.18
229,98,7,9.4,1,8.7
73,72,21,13.7,2,2.9
111,74,0,11.6,1,2.5
126,99,0,11.7,2,4.03
189,99,7,6.2,1,8.88
100,81,0,8.7,2,7.85
165,81,28,11.3,2,6.09
126,82,0,9.5,1,4.97
101,81,5,3.7,2,8.49
239,83,33,3.2,3,2.5
78,74,11,10.3,3,8.95
142,87,0,6.3,1,7.45
170,85,29,2.7,1,5.96
85,74,0,13.0,1,2.5
176,99,16,14.9,2,2.54
193,83,27,8.9,1,4.55
249,98,0,12.5,2,2.5
201,91,10,2.2,1,9.05
68,84,28,13.9,3,5.33
293,93,22,1.6,3,2.5
198,94,8,14.6,3,2.5
96,82,27,5.8,3,8.29
299,91,0,3.1,1,5.05
219,88,26,15.0,3,2.5
137,94,0,1.8,2,8.04
208,94,0,12.7,3,2.5
87,82,6,12.4,2,8.21
128,78,8,0.7,1,2.99
153,83,0,14.4,3,7.12
162,74,8,14.3,1,2.5
84,71,29,7.3,1,2.5
72,88,28,1.3,3,7.18
244,84,0,9.3,3,2.5
259,93,19,1.3,1,7.12
106,81,0,10.8,2,8.65
300,100,0,4.8,2,2.5
63,95,0,4.3,3,4.36
73,84,28,2.9,3,7.12
152,89,16,12.1,2,8.6
220,98,22,3.6,3,2.5
255,79,0,14.2,3,2.5
172,85,38,8.2,2,5.81
287,85,0,3.7,3,2.5
240,98,0,7.3,3,2.5
104,71,29,12.3,2,2.5
90,93,0,4.2,1,7.0
83,82,30,5.6,2,7.87
286,77,0,10.1,3,2.5
70,100,39,10.9,3,2.5
173,80,0,0.3,3,7.91
82,96,14,7.1,2,5.89
77,92,0,0.4,2,8.52
226,83,14,0.5,1,5.73
145,90,0,4.5,2,8.4
137,77,38,0.8,2,5.37
140,80,0,13.3,2,8.57
125,71,32,3.2,3,5.57
147,74,0,3.0,3,7.94
77,81,0,14.3,3,8.94
293,72,31,7.3,2,2.5
177,82,7,5.3,1,5.87
162,100,40,12.0,3,2.5
279,100,7,1.1,1,6.43
167,100,23,2.4,3,2.5
107,88,28,10.8,1,5.4
86,77,0,5.8,3,9.77
81,72,0,6.9,2,5.4
295,98,5,13.9,2,2.5
156,84,22,7.6,1,4.34
91,74,0,8.0,2,5.87
258,84,23,10.5,3,2.5
81,80,38,11.7,2,4.58
99,71,20,13.3,2,4.03
92,97,0,8.4,2,5.36
174,94,23,5.4,2,4.69
212,86,0,10.8,2,6.67
290,93,0,2.8,1,5.8
161,80,19,13.0,1,3.13
251,96,0,0.2,3,2.5
149,77,37,14.2,3,4.43
204,71,32,3.9,3,2.5
199,74,11,9.1,2,4.41
168,100,8,2.6,3,2.5
130,75,40,12.5,2,3.0
297,86,30,4.9,3,2.5
280,87,20,9.9,2,2.5
149,100,15,2.8,3,2.5
155,94,18,7.6,2,6.01
241,94,0,14.2,1,6.99
197,93,31,9.3,1,7.32
251,77,17,8.9,2,2.9
90,96,37,0.7,2,4.07
115,76,0,10.8,3,8.58
118,79,21,12.8,3,8.04
70,75,37,11.3,1,2.5
99,88,22,14.6,2,6.59
236,86,13,10.6,3,2.5
175,93,10,3.3,1,9.03
70,78,0,12.1,1,2.5
147,85,37,12.0,3,4.18
93,76,32,11.9,3,7.19
136,74,14,13.9,1,2.5
129,80,5,9.1,2,7.64
212,70,9,2.2,3,2.5
252,89,0,0.4,3,2.5
204,91,5,8.7,1,8.2
264,91,28,11.2,3,2.5
140,90,19,0.9,1,8.3
156,71,13,10.0,2,4.07
277,82,17,4.5,3,2.5
107,100,0,3.8,1,8.59
